Name,Price,Rarity
Wand of Enemy Detection,"3,000 gp",Rare
Wand of Magic Missiles,"1,500 gp",Uncommon
Wand of Web,"2,000 gp",Uncommon
Wand of Binding,"4,500 gp",Rare
Wand of Fear,"2,000 gp",Rare
Wand of Paralysis,"5,000 gp",Rare
Wand of Fireballs,"5,000 gp",Rare
Wand of Lightning Bolts,"3,500 gp",Rare
Wand of Polymorph,"20,000 gp",Very Rare
Wand of the War Mage +1,700 gp,Uncommon
Wand of the War Mage +2,"2,000 gp",Rare
Wand of the War Mage +3,"8,000 gp",Very Rare
Tentacle Rod,"2,0500 gp",Rare
Rod of Lordly Might,"15,000 gp",Legendary
Rod of Alertness,"5,000 gp",Very Rare
Rod of the Pact Keeper +1,900 gp,Uncommon
Rod of the Pact Keeper +2,"3,500 gp",Rare
Rod of the Pact Keeper +3,"11,000 gp",Very Rare
Rod of Security,"20,000 gp",Very Rare
Armor of Resistance,Armor + 500gp,Rare
Adamantine Armor,Armor + 500 gp,Uncommon
Mithral Armor,Armor + 800 gp,Uncommon
Mariner's Armor,Armor + 200 gp,Uncommon
Plate Armor of Etherealness,"48,000 gp",Legendary
Armor of Invulnerability,"50,000 gp",Legendary
Glamoured Armor,"2,000 gp",Rare
Dragon Scale Mail,"4,000 gp",Very Rare
Dwarven Plate,"6,000 gp",Very Rare
Elven Chain,"2,000 gp",Rare
Mantle of Spell Resistance,"1,000 gp",Rare
Robe of Stars,"6,000 gp",Very Rare
Robe of Scintillating Colors,"4,000 gp",Very Rare
Robe of the Archmagi,"50,000 gp",Legendary
Robe of Eyes,"2,500 gp",Rare
Helm of Teleportation,"40,000 gp",Rare
Animated Shield,"4,000 gp",Very Rare
Arrow-Catching Shield,"3,000 gp",Rare
Shield of Missile Attraction,"1,000 gp",Rare
Sentinel Shield,800 gp,Uncommon
Spellguard Shield,"15,000 gp",Very Rare
Bracers of Archery,500 gp,Uncommon
Periapt of Wound Closure,900 gp,Uncommon
Boots of Speed,800 gp,Rare
Iron Bands of Bilarro,"2,000 gp",Rare
Circlet of Blasting,500 gp,Uncommon
Pipes of the Sewers,200 gp,Uncommon
Rope of Entanglement,600 gp,Rare
Luckstone,500 gp,Uncommon
Saddle of the Cavalier,150 gp,Uncommon
Wind Fan,300 gp,Uncommon
Gloves of Missile Snaring,450 gp,Uncommon
Cloak of Protection,"1,000 gp",Uncommon
Belt of Dwarvenkind,"3,000 gp",Rare
Belt of Hill Giant Strength,"5,000 gp",Rare
Belt of Stone Giant Strength,"10,000 gp",Very Rare
Belt of Frost Giant Strength,"10,000 gp",Very Rare
Belt of Fire Giant Strength,"25,000 gp",Very Rare
Belt of Cloud Giant Strength,"50,000 gp",Legendary
Belt of Storm Giant Strength,Your Soul,Legendary
Bracers of Defense,"4,000 gp",Rare
Pearl of Power,500 gp,Uncommon
Pipes of Haunting,600 gp,Uncommon
Brooch of Shielding,500 gp,Uncommon
Amulet of Health,"3,000 gp",Rare
Gauntlets of Ogre Power,"1,000 gp",Uncommon
Headband of Intellect,"1,000 gp",Uncommon
Ring of Resistance,"1,000 gp",Rare
Ring of Protection,"2,000 gp",Rare
Ring of Evasion,"2,000 gp",Rare
Ring of Shooting Stars,"8,000 gp",Very Rare
Ring of Fire Elemental Command,"15,000 gp",Legendary
Ring of Free Action,"2,000 gp",Rare
Ring of Water Elemental Command,"20,000 gp",Legendary
Ring of Spell Storing,"3,000 gp",Rare
Ring of Spell Turning,"20,000 gp",Legendary
Ring of the Ram,"1,500 gp",Rare
Ring of Feather Falling,800 gp,Rare
Ring of Regeneration,"10,000 gp",Very Rare
Scarab of Protection,"30,000 gp",Legendary
Cloak of Displacement,"8,000 gp",Rare
Prayer Bead - Bless,200 gp,Rare
Prayer Bead - Smiting,300 gp,Rare
Prayer Bead - Curing,"1,000 gp",Rare
Prayer Bead - Wind Walking,"1,200 gp",Rare
Prayer Bead - Greater Restoration,"2,500 gp",Rare
Prayer Bead - Summons,"5,000 gp",Rare
Instrument of the Bards - Cli Lyre,"2,500 gp",Rare
Instrument of the Bards - Fochulan Bandlore,"1,500 gp",Uncommon
Instrument of the Bards - Mac-Fuirmidh Cittern,"2,000 gp",Uncommon
Instrument of the Bards - Doss Lute,"1,500 gp",Uncommon
Instrument of the Bards - Canaith Mandolin,"2,500 gp",Rare
Instrument of the Bards - Anstruth Harp,"5,000 gp",Very Rare
Instrument of the Bards - Ollamh Harp,"70,000 gp",Legendary
Luck Blade (Per Charge),"50,000 gp",Legendary
Helm of Brilliance,"15,000 gp",Very Rare
